频域幅值平均值,重心频率,均方频率,频率方差,均方根频率,频率幅值方差,频域幅值偏度指标,频域幅值峭度指标,频率标准差,频域频率歪度,频域频率峭度,平方根比率,标签
5284.028525436042,2819.7789228483557,1187.4175335262937,9361113.572665513,20667.828865171105,399238192.5423783,5.442553643228748,31.176123550191942,367186.0655096986,2.736879287708283,6.848377914890431,1.108451302186576,1
356.8020733539133,10489.045981270425,2289.672230422667,115262684.51997444,3239.123183826141,10364611.280450348,11.661117230577355,134.30885809845324,15951.820965630994,3.6801903962371534,22.09854390846668,1.4119738320748203,0
5315.999470045234,2967.1226101222524,1217.266886434534,10285555.256308729,20741.8193030409,401963217.63447887,5.390823692220806,30.62466510446771,377039.8358353716,2.695056954589976,6.587898553931613,1.107213780693841,1
357.9821609419648,11503.27503921773,2397.4716314105613,138073206.85130668,3258.808524599136,10491681.77244732,11.651742951073569,134.15577679938073,16046.764369010438,3.924276726284373,23.35172004975982,1.4115981407153937,0
345.5014270324737,1573.0094295532208,894.1330246844115,3273832.53129464,1225.7715937318828,1383144.7639185246,5.147142261577328,26.342309696591123,21315.68526468159,2.5455210915535424,8.659751865273199,1.0828480214413738,0
352.6915676138464,2406.9205786451253,1095.7501874732798,6993935.145253124,1300.5644928260958,1567076.6581340877,5.209688429743162,26.978571442755765,22237.49213813492,2.825785171832953,9.919445291009808,1.08384693365843,0
371.6188594317189,2307.1314061366347,1069.6724490262593,6467054.473387842,1331.1292198731123,1633804.4233146685,5.23844455078561,27.36750426842795,22140.088385515013,2.8632531175211344,10.044809989169169,1.0850962059267166,0
358.6876796276161,2167.9206602814747,1042.425124749704,5786530.129984695,1283.7379015982974,1519326.1484833565,5.078868296846438,25.562306925165096,22866.55146383299,2.700906435365921,8.941165376309915,1.0797144228969746,0
353.3649026637859,2791.971400035946,1180.654140334366,9189048.49770737,1296.3128480424778,1555560.2455654128,5.435089576229492,29.7816898144863,21448.2141555954,2.405897481978295,7.377403445957567,1.093189715039702,0
5612.428733237145,2848.7992483835837,1191.784766503399,9536008.08726042,21541.515568780207,432537536.7143341,5.162745173676145,27.842964830314862,421127.4302101415,2.653663371805007,6.321658334265077,1.0978171937988637,1
13674.3034777928,2186.637325687021,1046.2249546896574,5875969.449903067,42930.05158394292,1656002753.3972237,4.712297844126555,24.22023942392896,1155705.1201719798,1.9285657629815227,2.613840912869631,1.0890366052041784,0
14311.810115363582,1560.6592781057716,886.5905234704882,3221700.138645305,44446.7168866273,1770682733.221777,4.589857353236615,22.906828315762805,1197703.7050719005,2.172808873244511,3.6931600281645824,1.085427294915606,0
5284.028525436042,2819.7789228483557,1187.4175335262937,9361113.572665513,20667.828865171105,399238192.5423783,5.442553643228748,31.176123550191942,367186.0655096986,2.736879287708283,6.848377914890431,1.108451302186576,1
356.8020733539133,10489.045981270425,2289.672230422667,115262684.51997444,3239.123183826141,10364611.280450348,11.661117230577355,134.30885809845324,15951.820965630994,3.6801903962371534,22.09854390846668,1.4119738320748203,0
5656.29713429292,2789.505720070213,1180.0607202131955,9173885.46569452,21581.51899195235,433768264.7285897,5.180971563928961,28.004816277362437,414356.6772798975,2.6971345705961323,6.637252978736839,1.0980242103788251,1
15279.26375948736,1966.6901597694396,990.2747602947052,4848514.285410677,44241.58316561468,1723861779.968016,4.274777283416756,20.687176365788183,1566601.9552832616,1.7753357490798638,1.6982368981103455,1.0830669570493796,0
5177.311301054479,3134.825106220722,1251.345031765777,11392992.835116664,20713.060227788646,402226311.6919735,5.438136250904103,31.141092770053284,374306.6574447333,2.6549678956154352,6.421435881083498,1.1085927956685406,1
358.8953906686046,11778.59394846524,2424.0358905434223,144611225.40146425,3236.127315171639,10343714.098556826,11.660741454987752,134.30257337757504,15635.900428990972,3.675144976723242,22.959692682984542,1.4119318706095667,0
6461.425014544265,2922.7762179034166,1200.1374612515506,9982950.745841144,22012.9192975398,442818602.78142166,5.06327575090775,26.982325449820333,426511.7538170741,2.4870724089981677,5.82098292543597,1.0945882200118282,1
17802.436794899135,2013.149760536039,1001.919108207639,5056613.8577379,53608.09760661164,2556901373.1636224,4.498619435154302,22.419080205810225,1582776.0437809492,1.9352176310881808,2.565318340724115,1.086478758917388,0
5797.023526446424,2792.28226970492,1180.20584179339,9189726.102711711,21791.42117898693,441260555.2338266,5.111309720077477,27.254999883725528,427520.3184138593,2.6745901804693144,6.49049026409172,1.096150215720364,1
16100.32717640994,1853.9578103700924,965.3578022996136,4369075.249093005,48076.96451524368,2052173981.812556,4.5831486951930405,23.33005748145047,1425933.2875869495,1.8559169736495995,2.1031080666309423,1.0884540147432733,0
5557.448012716549,2905.585130143201,1204.2362028363443,9892609.780730976,21537.729337142297,432988556.5859529,5.2001269330770645,28.160498835154,412751.2571438276,2.7027719929366367,6.656356111627012,1.0980498706839217,1
15881.228229789442,1662.8024520855697,910.1536964408114,3593291.7458066544,45477.762785783554,1816013497.9133384,4.519084975718232,22.64419348692262,1325502.1067870122,2.0262379115724705,2.903214175725437,1.0850110829453197,0
5969.640294470573,2587.865601149017,1137.006094157961,7989831.227762716,21999.75113495605,448352444.7546333,5.066697941683079,26.907315315822665,431566.6778595856,2.766661369133974,7.094467297226656,1.0966837581846804,1
14266.921365591492,1927.7852099544252,982.0593812308032,4680796.443982452,43032.70982636348,1648269069.748029,4.524039503823222,22.596093915679837,1282069.6807029662,2.080877412078896,3.0333184042359127,1.0854764600889375,0
