频域幅值平均值,重心频率,均方频率,频率方差,均方根频率,频率幅值方差,频域幅值偏度指标,频域幅值峭度指标,频率标准差,频域频率歪度,频域频率峭度,平方根比率
5249.586170000169,3154.2578696452233,1254.5870978153628,11523331.494223597,21401.990047656785,430487023.043743,5.421841920994747,30.476111920406353,365933.6439984223,3.08410417968074,9.32544767499021,1.1036601775667465
5491.837233818354,3046.9879723203003,1233.328124233159,10805233.965489045,21476.06772665797,431061208.7972465,5.296077959958528,29.43413493641662,396107.67908396764,2.789151190717695,7.134180645671233,1.1027533953646447
5464.879195519495,2918.4138360187385,1208.0203331237994,9976452.443506157,21461.55320567456,430733361.3783783,5.293581388622086,29.436207262510408,400124.65651945106,2.7307662249381233,6.739068195401419,1.1027327943911924
5430.808933097653,2960.645939166032,1216.212811257031,10244597.979366073,21453.35920083379,430752935.3321867,5.29581088620528,29.463125526661692,402880.08915216406,2.690747741629038,6.5283596127498065,1.1030147251444602
5646.664794882838,2767.7349301592394,1176.7421073547991,9045078.630845377,21619.128913996512,435501911.69423074,5.258552137251827,29.060851941665057,404160.7710625562,2.740708480441238,6.8256121334888515,1.1017510668029953
5646.208256892264,2919.831303579405,1206.683985821853,9981501.08300111,21553.467772031487,432672305.3198016,5.27523217704757,29.183348326802204,395852.695972851,2.7963229158004337,7.19209315608957,1.1018035215753337
5657.639932700647,2346.4830625623504,1084.0150245165294,6681071.336269552,21665.1473569879,437369720.3919109,5.350478082730185,30.020976595951318,384770.4417267714,2.908955876280365,7.93006565609771,1.1041519310654948
5674.959099090218,2749.5109683711976,1171.5144849969379,8932256.753751142,21463.473833468805,428475548.22365314,5.261140520620729,29.18804704281164,408162.86958100804,2.6408401636822707,6.113256194034561,1.1022847750143967
5569.231311261914,2986.986118469931,1220.462813926146,10411615.552108604,21342.021717728618,424465553.60165995,5.257898808077075,29.195194885793782,412251.69363070745,2.5845923659550993,5.815188645082831,1.1027958376595641
5177.311301054479,3134.825106220722,1251.3450317657773,11392992.835116664,20713.060227788646,402226311.6919735,5.438136250904103,31.141092770053284,374306.6574447333,2.6549678956154352,6.421435881083498,1.1085927956685406
5235.562517086481,3113.4084444179557,1246.8023227840977,11247828.173872834,20732.408301979776,402421639.1296791,5.443414657269174,31.14514674246474,369530.34824588447,2.7166926519442725,6.7802780847441575,1.1080994842326772
5211.192516701381,3033.220168431872,1231.6483837346113,10717382.33133794,20689.541295060168,400900591.55387557,5.44163299846377,31.168422909715204,369698.7287438481,2.6954802153093005,6.671116590551895,1.10852001358442
5284.028525436042,2819.7789228483553,1187.4175335262937,9361113.572665513,20667.828865171105,399238192.54237825,5.442553643228748,31.176123550191946,367186.06550969864,2.736879287708283,6.848377914890431,1.108451302186576
5191.352719133782,3044.20577517012,1233.9310644380841,10789774.673364406,20659.793537206515,399876925.94554234,5.452941218047292,31.277533088718286,369446.6885546073,2.683561343475793,6.575997108433842,1.1085965407242844
5265.470192156188,2835.965907501026,1190.566215594083,9460150.542222124,20696.338081892653,400613233.65551466,5.454601382743333,31.28233686832762,366628.52996966307,2.710520693009928,6.742430970618658,1.1082737069964568
5206.123396002721,3098.3761908044003,1243.541347498296,11146330.102681488,20849.57627866811,407601110.18559307,5.442308203664025,31.03412640289274,370226.85356963065,2.749034875804144,7.076688275748781,1.1072117404064372
5181.4607298017445,3139.7084401969723,1252.6611487750376,11426929.043094505,20852.75854653288,407990003.7055225,5.436739532152766,30.995099548647765,371662.844409399,2.750614325933299,7.060226702408386,1.107513710865466
5249.889220247689,3072.995370986299,1239.2703482839106,10979091.546238951,20945.172212230675,411138902.1751271,5.415324413282087,30.76961037579342,375175.29894000076,2.742726746376338,6.959625803057223,1.106847578781865
5316.064121869493,3108.168789496958,1245.0554345225248,11210876.259037059,20983.44514134893,412044432.25217193,5.4000538219883385,30.628646804709454,377766.40530085895,2.746630207354749,6.946096761805833,1.1065654458060967
5243.392522459475,3112.5489724503045,1246.4240796470779,11241534.092225516,20918.74762025681,410100836.8554162,5.408163690447382,30.668490992703802,374892.59078416927,2.761334277114989,7.108437529561318,1.106518919021602
5307.298529277917,3022.1691414160396,1228.8914672679891,10643680.557651442,20976.428294635865,411843126.3211245,5.38318695582853,30.388808611500878,379496.79237295635,2.720796686052512,6.8386863462199585,1.1057555134060961
5572.351159426506,3121.7252983945846,1244.0123261206772,11292735.506176937,20903.303255705785,405896989.55603814,5.419577738468926,30.844218964321954,362939.2977350508,2.8041025972225335,7.502194522225336,1.1065534324114674
5316.098185883307,3111.283134132415,1246.2999534785883,11233346.314777518,20994.333878453966,412501155.0780483,5.3924335595638615,30.498702496259185,378580.1436316967,2.7189861167894565,6.856301348388797,1.1059898692746037
5345.85262818617,3065.3788490167913,1236.4959730922644,10925469.779472917,20965.313544042216,410966231.67771494,5.413959193594359,30.732761950480153,371568.3485548048,2.7921890636631326,7.271926751335547,1.1064961725639773
5310.688120296221,3034.9957450064403,1230.9444036029176,10726423.296968553,20986.86184259095,412244961.6889447,5.415725465066167,30.767320078016454,376961.295096148,2.6884551044803,6.692699532000601,1.1065783500131385
5318.54550514423,3021.348820891329,1228.3503421229095,10637393.260494903,21091.740279076075,416574581.7097102,5.356570143892728,30.119705312552917,385985.33105972304,2.744496390493721,6.979672022849702,1.105399894560454
5335.866857982169,2876.7094192040117,1199.904675141841,9715228.31196433,20962.753945987155,410965577.8738875,5.361155513467489,30.193110690412063,383818.8456397923,2.6897263649849017,6.600531703851702,1.1054557488065804
5416.272947553078,2933.818057481564,1210.2269014546953,10071937.547409525,20817.461612790354,404030695.3576047,5.394973780477878,30.72042709339354,380256.97989801096,2.6066532318886524,6.101376182431592,1.1074806216734865
5261.193788183651,2966.8571804221287,1217.8997444039217,10285521.316441486,20742.00110886122,402550449.9231778,5.392650367725775,30.63548562804265,377547.1714571366,2.7005017239033693,6.632392574025404,1.1072459499384564
5315.999470045234,2967.1226101222524,1217.266886434534,10285555.256308729,20741.8193030409,401963217.63447887,5.390823692220806,30.62466510446771,377039.8358353716,2.695056954589976,6.587898553931613,1.1072137806938407
5243.281645809198,3020.7867921957363,1228.443106293752,10634225.30930485,20725.593887751445,402058239.5827205,5.384881289183322,30.555714445343952,379706.3887099584,2.6784260500137727,6.50325304112083,1.1071799277480667
5390.938876867144,2979.303687232514,1219.339531501183,10363039.353838788,20780.59871611018,402771061.0258824,5.373478112530616,30.437308746977862,375178.89071322576,2.7528420877565276,6.907331677826257,1.1068249377264974
5297.517058684175,3079.3258981963263,1240.054897382343,11019984.135824531,20792.292802863278,404255753.0129501,5.352172052420458,30.19209023599916,383536.17251203605,2.6849912225065333,6.479803571621318,1.1061675302404732
5229.1441262008075,3016.36259406245,1227.5397995125752,10605297.258246524,20770.3812434919,404064788.7074196,5.372345839636051,30.37906056652148,380895.0046894731,2.7070129852059037,6.707161245137961,1.1065464058978354
5404.851131605342,3043.1208521868684,1231.5121555132253,10777206.710191354,20754.711609656253,401545638.24518454,5.394909885936153,30.66223858606552,374219.1230849402,2.6853632201652173,6.558004054703664,1.1069974795612825
5302.286927268049,3059.1523191038164,1236.1719541032137,10886534.011589624,20931.749616312536,410023895.34092236,5.363210376769463,30.172189208196926,383979.5069511468,2.6832862122960903,6.622658673222363,1.105255426803491
5361.407597680452,2949.7116994096095,1213.5857714476358,10173589.534294074,21130.49909491018,417753300.5715343,5.286079735481966,29.099772036029364,387283.53928079276,2.8352013386106845,7.669574582170922,1.1012755344468454
5372.545935169577,2976.999362196981,1219.0093728508625,10348509.05361947,21198.14765492495,420497214.1744929,5.289113611805013,29.152926168570374,390476.58530466474,2.8348877847210048,7.501043094785935,1.1013665142476483
5555.034631672904,2607.5512910690077,1141.9852059363336,8103453.946133097,21051.212482895135,412295137.2409147,5.314431559613223,29.641205683621145,391789.91755694326,2.6200259852959413,6.10758284556295,1.102866674957038
5395.958440241392,2902.737323870332,1204.4884329277688,9876676.356446693,21137.610106159114,417682193.5111877,5.314362089174777,29.636486289194266,393511.4169956129,2.69394491214937,6.600845699812492,1.1037477292712945
5320.60517747632,3065.447276944493,1236.8208547150712,10926692.834384523,21157.69540852689,419339235.5454121,5.312220493247284,29.53556453038211,391896.17507068714,2.755206350290578,7.016511062679426,1.1031787357492209
5394.989666431345,3038.9888924856396,1231.3190957808868,10751600.20428577,21173.912109008106,419228640.4990991,5.29993667803371,29.469336083917298,393442.7045611854,2.7308968358240344,6.804078869757488,1.1033325433336771
5481.571211089886,2935.3319870447667,1209.8610766737982,10079937.699018462,21134.977454447402,416639649.05775046,5.337066467525436,29.907882424990184,390036.07877686963,2.6641601333256277,6.434690296097584,1.104347491862839
5457.5085145960575,2931.697224855007,1209.9345630969226,10058790.265199088,21164.544644286587,418153550.81311154,5.315716431925813,29.68258832491908,395804.82406937174,2.643853681223661,6.262822502810527,1.1038646467946396
5388.0328391262265,3022.4000894418205,1228.926250136293,10645162.028931981,21167.305024494734,419023904.1244974,5.320050605419526,29.695328921931363,390384.8571302847,2.7467475647724315,6.946938621730844,1.1041141180300331
5591.14948280199,2800.4481149502353,1182.9007275876666,9241763.77585575,21158.823076910492,416434841.460963,5.3070074216729815,29.672508055689214,395082.3410954427,2.625247359791073,6.1749050009836814,1.1041649908717297
5497.089422965727,2880.9785387431443,1199.8789135520374,9739746.7478854,21130.852562071417,416294937.87591845,5.321602260446563,29.765230955089862,387505.35974203824,2.7183889283991944,6.79555963539841,1.1042336963482604
5381.806021748767,2984.0230509852545,1221.2143559387205,10395758.071962146,21101.869893447834,416325076.9442688,5.323873823598338,29.793036810020915,394458.5545658596,2.6098166804438936,6.1392609384474195,1.104243144073372
5393.77693129635,3055.7056714811974,1234.522960175642,10861384.089923188,21059.712581134623,414418664.4154153,5.349229694661078,30.070728332306935,389012.0430617953,2.6232847437190285,6.240348054060268,1.1048477053951429
5414.748847897351,2910.6464550844976,1206.3232375541847,9927078.539959162,21143.070117653206,417709908.9141943,5.319494988585864,29.771709190633537,393063.4797082968,2.6433743629872204,6.361567953786702,1.1043887967146566
5399.414369602842,3027.1724292771883,1228.8309988945687,10673798.54042018,21121.577924009373,416967378.46532625,5.324969187398055,29.802483097439243,392677.0880725704,2.6650052407169014,6.415697879032107,1.1042069720501868
5426.301883856785,2973.98996641134,1218.732499186116,10329925.224887766,21174.77473315832,418926332.86525226,5.318321076390301,29.763306244418523,395296.67819663626,2.648642974542895,6.355155646689308,1.1045108273147939
5432.6364115654105,2916.7633909605765,1207.3072665285351,9965099.514660435,21096.444487164183,415546431.61973375,5.333869678419408,29.951834629168253,392162.4210639636,2.6343233883065698,6.20562322602812,1.1047855558288553
5456.727790516773,2980.959928470972,1219.8508552117119,10374158.204110373,21458.582595316027,430694888.8202019,5.237680815488249,28.60629288235074,402243.52949816897,2.8160256049274253,7.398432607488475,1.100055053205584
5600.507814217206,2854.2563571095657,1192.8863764998455,9569757.259339297,21699.40989981064,439498702.222892,5.20599890040767,28.13006942797646,405911.77822553506,2.845711700925319,7.635621708164917,1.0977267535608082
5637.298774218121,2920.6719626320887,1206.153508753543,9985130.99998365,21614.333531247266,435400276.5301988,5.217188416609429,28.361492392604585,407951.04380690464,2.755379768771347,6.998264319372446,1.0989111708682773
5522.95142970006,2871.3280694555683,1198.455011580457,9680819.297225729,21347.523907938365,425213784.50517404,5.251831345722589,28.886010466205942,402650.1511518539,2.6778062025419653,6.5458428729066025,1.1012465159852394
5581.012217201021,2846.5281863017062,1191.4101088192124,9522180.76280669,21353.307893626225,424816060.6314529,5.266201045362914,29.024893928516967,398012.87658701604,2.7136430993779097,6.741287037841616,1.1012733742426437
5447.895562789054,2930.1814043220925,1210.0401408588525,10050160.204724718,21417.575609764986,429032978.93694335,5.24725207764081,28.773476207276264,404347.9732548084,2.7058089135335033,6.712366767108717,1.100583578892264
5472.828281316595,2965.630823187528,1217.1907699053336,10276519.549782677,21489.896672622694,431863809.6032212,5.2233550419921,28.515627890415438,408999.03257654596,2.721845982398919,6.805036382703889,1.1000538707201684
5532.754514592814,2808.392424252043,1184.5094103741037,9290130.55186106,21372.229995955033,426160842.48125285,5.255978989740696,28.91271085543819,402933.7368774428,2.645949588752053,6.385744503224407,1.100910096286024
5441.271902794737,2855.543970223948,1194.3128336918971,9580514.510603508,21317.761397482616,424839511.0798566,5.256100583206586,28.930765323731695,405175.78595432785,2.647682843951503,6.390967417874032,1.1013797366937619
